# wavelength(nm) efficiency_Th_absorbed
2870.000000 0.596047
2880.000000 0.856934
2890.000000 0.844991
2900.000000 0.851149
2910.000000 0.843871
2920.000000 0.583917
2930.000000 0.581864
2940.000000 0.585783
2950.000000 0.592688
2960.000000 0.594554
2970.000000 0.596420
2980.000000 0.867571
2990.000000 0.845924
3000.000000 0.874476
