# wavelength(nm) efficiency_Th_absorbed
280.000000 0.000000
290.000000 0.030605
300.000000 0.039562
310.000000 0.067181
320.000000 0.143133
330.000000 0.244652
340.000000 0.350276
350.000000 0.416897
360.000000 0.486131
370.000000 0.540436
380.000000 0.566189
390.000000 0.591568
400.000000 0.643447
410.000000 0.687861
420.000000 0.694580
430.000000 0.717533
440.000000 0.752430
450.000000 0.763814
460.000000 0.777810
470.000000 0.773891
480.000000 0.787514
490.000000 0.809161
500.000000 0.789193
510.000000 0.819611
520.000000 0.823530
530.000000 0.811400
540.000000 0.792366
550.000000 0.818678
560.000000 0.813267
570.000000 0.825956
580.000000 0.824463
590.000000 0.811027
600.000000 0.818305
610.000000 0.830435
620.000000 0.810467
630.000000 0.795165
640.000000 0.799084
650.000000 0.800950
660.000000 0.792552
670.000000 0.796471
680.000000 0.787327
690.000000 0.777996
700.000000 0.773331
710.000000 0.775944
720.000000 0.773704
730.000000 0.763814
740.000000 0.752803
750.000000 0.732462
760.000000 0.724251
770.000000 0.722199
780.000000 0.716227
790.000000 0.689541
800.000000 0.691221
810.000000 0.694393
820.000000 0.663788
830.000000 0.678717
840.000000 0.653151
850.000000 0.657257
860.000000 0.663415
870.000000 0.665841
880.000000 0.676478
890.000000 0.671999
900.000000 0.688048
910.000000 0.689728
920.000000 0.689541
930.000000 0.702417
940.000000 0.699991
950.000000 0.703350
960.000000 0.710628
970.000000 0.706150
980.000000 0.742913
990.000000 0.716414
1000.000000 0.717906
1010.000000 0.735448
1020.000000 0.724438
1030.000000 0.748325
1040.000000 0.753550
1050.000000 0.752990
1060.000000 0.745899
1070.000000 0.750377
1080.000000 0.741793
1090.000000 0.766053
1100.000000 0.758962
1110.000000 0.754483
1120.000000 0.771092
1130.000000 0.759895
1140.000000 0.780236
1150.000000 0.763627
1160.000000 0.755229
1170.000000 0.772398
1180.000000 0.758588
1190.000000 0.757655
1200.000000 0.749258
1210.000000 0.761761
1220.000000 0.773704
1230.000000 0.758215
1240.000000 0.762321
1250.000000 0.767359
1260.000000 0.759522
1270.000000 0.764000
1280.000000 0.770718
1290.000000 0.777623
1300.000000 0.777437
1310.000000 0.774824
1320.000000 0.789380
1330.000000 0.766799
1340.000000 0.767173
1350.000000 0.768292
1360.000000 0.793859
1370.000000 0.767733
1380.000000 0.788074
1390.000000 0.772585
1400.000000 0.780422
1410.000000 0.770532
1420.000000 0.791059
1430.000000 0.783035
1440.000000 0.777996
1450.000000 0.785274
1460.000000 0.775757
1470.000000 0.790313
1480.000000 0.777063
1490.000000 0.779676
1500.000000 0.779116
1510.000000 0.778743
1520.000000 0.791059
1530.000000 0.790686
1540.000000 0.771651
1550.000000 0.770718
1560.000000 0.780609
1570.000000 0.772398
1580.000000 0.777810
1590.000000 0.780796
1600.000000 0.768292
1610.000000 0.776503
1620.000000 0.776503
1630.000000 0.781355
1640.000000 0.782662
1650.000000 0.777250
1660.000000 0.775757
1670.000000 0.776503
1680.000000 0.778743
1690.000000 0.775384
1700.000000 0.773891
1710.000000 0.777623
1720.000000 0.770718
1730.000000 0.770905
1740.000000 0.778929
1750.000000 0.769785
1760.000000 0.766240
1770.000000 0.755789
1780.000000 0.780236
1790.000000 0.762694
1800.000000 0.767359
1810.000000 0.765493
1820.000000 0.762321
1830.000000 0.759148
1840.000000 0.768852
1850.000000 0.754110
1860.000000 0.755603
1870.000000 0.767173
1880.000000 0.747392
1890.000000 0.761014
1900.000000 0.749258
1910.000000 0.756536
1920.000000 0.747018
1930.000000 0.743099
1940.000000 0.745152
1950.000000 0.741420
1960.000000 0.732089
1970.000000 0.733769
1980.000000 0.742726
1990.000000 0.742540
2000.000000 0.745712
2010.000000 0.733209
2020.000000 0.738807
2030.000000 0.727797
2040.000000 0.734702
2050.000000 0.738061
2060.000000 0.717906
2070.000000 0.730596
2080.000000 0.720519
2090.000000 0.714361
2100.000000 0.708576
2110.000000 0.715854
2120.000000 0.722385
2130.000000 0.717347
2140.000000 0.726491
2150.000000 0.729477
2160.000000 0.722199
2170.000000 0.702977
2180.000000 0.695513
2190.000000 0.709136
2200.000000 0.715854
2210.000000 0.707643
2220.000000 0.710069
2230.000000 0.694020
2240.000000 0.691594
2250.000000 0.697939
2260.000000 0.683756
2270.000000 0.683756
2280.000000 0.694020
2290.000000 0.689354
2300.000000 0.699432
2310.000000 0.687115
2320.000000 0.692154
2330.000000 0.691967
2340.000000 0.665095
2350.000000 0.663415
2360.000000 0.668827
2370.000000 0.660802
2380.000000 0.677598
2390.000000 0.680957
2400.000000 0.669387
2410.000000 0.677971
2420.000000 0.665654
2430.000000 0.669573
2440.000000 0.666961
2450.000000 0.672186
2460.000000 0.648113
2470.000000 0.651845
2480.000000 0.656324
2490.000000 0.661362
2500.000000 0.634116
2510.000000 0.832861
2520.000000 0.852082
2530.000000 0.624972
2540.000000 0.641394
2550.000000 0.634116
2560.000000 0.643634
2570.000000 0.841072
2580.000000 0.853202
2590.000000 0.845737
2600.000000 0.636916
2610.000000 0.852642
2620.000000 0.854695
2630.000000 0.633183
2640.000000 0.839952
2650.000000 0.845551
2660.000000 0.626465
2670.000000 0.834354
2680.000000 0.844991
2690.000000 0.612842
2700.000000 0.633930
2710.000000 0.615642
2720.000000 0.862906
2730.000000 0.854695
2740.000000 0.619934
2750.000000 0.602019
2760.000000 0.627398
2770.000000 0.843498
2780.000000 0.851336
2790.000000 0.616575
2800.000000 0.851336
2810.000000 0.842005
2820.000000 0.602952
2830.000000 0.850403
2840.000000 0.596794
2850.000000 0.865519
2860.000000 0.829315
2870.000000 0.606871
2880.000000 0.838833
2890.000000 0.845924
2900.000000 0.850963
2910.000000 0.838833
2920.000000 0.604258
2930.000000 0.598286
2940.000000 0.590635
2950.000000 0.588209
2960.000000 0.581305
2970.000000 0.577945
2980.000000 0.844245
2990.000000 0.855068
3000.000000 0.838273
